Name,Designator,Footprint,Quantity
0.1u,C3,C0603K,1
0.1u,C4,C0603,1
0.1u,C5,C0603,1
0.1u,CE,C0603,1
1,RSC,R0603,1
1.5K,RB,R0603,1
1K,RB0,R0603,1
1K,RB1,R0603,1
1K,RB2,R0603,1
1K,RB3,R0603,1
1K,RBL,R0603,1
2.2K,REE,R0603,1
2.2K,REP,R0603,1
3.3K,RC,R0603,1
4.7K,RG,R0603,1
4.7K,RPE,R0603,1
4.7K,RPP,R0603,1
10K,RR,R0603,1
10K,RS,R0603,1
10kx4,RN,EXB38V,1
10u,C1,C0805K,1
32.768kHz,X0,3.2X1.5,1
74HC595D,IC1,SO16,1
75K,RPU,R0603,1
75K,RT,R0603,1
100Kx4,RN1,EXB38V,1
100Kx4,RN2,EXB38V,1
100Kx4,RN3,EXB38V,1
100Kx4,RN4,EXB38V,1
100u,C2,PANASONIC_C,1
220,RDC,R0603,1
220u,L1,CR54,1
330p,CT,C0603K,1
2200uF,CB,"E5-8,5",1
MMBT3904,B1,SOT23,1
MMBT3904,B2,SOT23,1
MMBT3904,B3,SOT23,1
MMBT3904,Q0,SOT23,1
MMBT3904,QBE,SOT23-3,1
MMBT3904,QBP,SOT23-3,1
MMBT3904,QBL,SOT23-3,1
AMS1117-3.3,1117,SOT223,1
AO3400,N0,SOT23,1
AO3400,N1,SOT23,1
AO3400,N2,SOT23,1
AO3400,N3,SOT23,1
AO3407,P0,SOT23,1
AO3407,P1,SOT23,1
AO3407,P2,SOT23,1
AO3407,P3,SOT23,1
AO3407,QPE,SOT23,1
AO3407,QPP,SOT23,1
BAT54C,D3,SOT23,1
CH340C,CH340,SO16,1
ESP8266,U1,ESP12E-SMD,1
MC34063,34063,SO08,1
PCF8563,8563,SO08,1
R50,RV,R2512,1
SPST_TACT,G0,EVQ-Q2-SMD,1
SS14,D2,DO-214AC,1
SS34,D1,SMB-DIODE,1
USBMICROB2,USB,USB-MICROB2,1
12MMbatholder,BAT,BATTCON_12MM_SMT,1
